CountryName,Entity,Year,Records,Sector,Method
United States,21st Century Oncology,2016,2200000,Healthcare,Cyber Attack
Canada,500px,2020,14870304,Tech,Cyber Attack
United States,Accendo Insurance Co.,2020,175350,Healthcare,Inadequate Security
United States,Adobe Systems Incorporated,2013,152000000,Tech,Cyber Attack
United States,Adobe Inc.,2019,7500000,Tech,Inadequate Security
United States,Advocate Medical Group,2017,4000000,Healthcare,Physical Loss
United States,AerServ (subsidiary of InMobi),2018,75000,Marketing & Advertising,Cyber Attack
United States,"Affinity Health Plan, Inc.",2013,344579,Healthcare,Physical Loss
India,Airtel,2019,320000000,Telecom,Inadequate Security
Canada,Air Canada,2018,20000,Transport,Cyber Attack
United States,TD Ameritrade,2005,200000,Financial,Physical Loss
United States,Ancestry.com,2021,300000,Tech,Inadequate Security
United States,Animal Jam,2020,46000000,Gaming,Cyber Attack
United States,"Ankle & Foot Center of Tampa Bay, Inc.",2021,156000,Healthcare,Cyber Attack
United States,Anthem Inc.,2021,80000000,Healthcare,Cyber Attack
United States,AOL,2021,92000000,Tech,Insider Threat
United States,AOL,2021,20000000,Tech,Accidental Disclosure
United States,AOL,2014,2400000,Tech,Cyber Attack
United States,"Apple, Inc./BlueToad",2021,12367232,Tech,Accidental Disclosure
United States,Apple,2021,275000,Tech,Cyber Attack
United States,Apple Health Medicaid,2021,91000,Healthcare,Inadequate Security
Canada,Ashley Madison,2015,32000000,Tech,Cyber Attack
United States,AT&T,2008,113000,Telecom,Physical Loss
United States,AT&T,2010,114000,Telecom,Cyber Attack
South Korea,Auction.co.kr,2008,18000000,Tech,Cyber Attack
United States,Automatic Data Processing,2005,125000,Financial,Inadequate Security
United States,"AvMed, Inc.",2009,1220000,Healthcare,Physical Loss
United States,Bailey's Inc.,2015,250000,Retail,Cyber Attack
United States,The Bank of New York Mellon,2008,12500000,Financial,Physical Loss
United States,Bank of America,2005,1200000,Financial,Physical Loss
Canada,Bell Canada,2017,1900000,Telecom,Inadequate Security
Canada,Bell Canada,2018,100000,Telecom,Cyber Attack
Japan,Benesse,2014,35040000,Education,Cyber Attack
United Kingdom,Betfair,2010,2300000,Tech,Cyber Attack
United States,Bethesda Game Studios,2011,200000,Gaming,Cyber Attack
United States,Blank Media Games,2018,7633234,Gaming,Cyber Attack
United States,Blizzard Entertainment,2012,14000000,Gaming,Cyber Attack
United States,BlueCross BlueShield of Tennessee,2009,1023209,Healthcare,Physical Loss
Canada,BMO and Simplii,2018,90000,Financial,Inadequate Security
United Kingdom,2018 British Airways cyberattack,2018,500000,Transport,Cyber Attack
United States,California Department of Child Support Services,2012,800000,Government,Physical Loss
Australia,Canva,2019,140000000,Tech,Cyber Attack
Japan,Capcom,2020,350000,Gaming,Cyber Attack
United States,Capital One,2019,106000000,Financial,Misconfiguration
United States,"CardSystems Solutions Inc. (MasterCard, Visa, Discover Financial Services and American Express)",2005,40000000,Financial,Cyber Attack
Hong Kong,Cathay Pacific Airways,2018,9400000,Transport,Cyber Attack
United States,CareFirst BlueCross Blue Shield - Maryland,2015,1100000,Healthcare,Cyber Attack
Australia,Central Coast Credit Union,2016,60000,Financial,Cyber Attack
United States,Central Hudson Gas & Electric,2013,110000,Energy,Cyber Attack
United States,CheckFree Corporation,2009,5000000,Financial,Cyber Attack
United States,CheckPeople,2020,56000000,Security,Unknown
United States,China Software Developer Network,2011,6000000,Tech,Cyber Attack
United States,"Chinese gaming websites (three: Duowan, 7K7K, 178.com)",2011,10000000,Tech,Cyber Attack
United States,Citigroup,2005,3900000,Financial,Physical Loss
United States,Citigroup,2011,360083,Financial,Cyber Attack
United States,Citigroup,2013,150000,Financial,Inadequate Security
China,City and Hackney Teaching Primary Care Trust,2007,160000,Healthcare,Physical Loss
China,Colorado government,2010,105470,Healthcare,Physical Loss
United States,Community Health Systems,2014,4500000,Healthcare,Cyber Attack
United States,Philippines Commission on Elections,2016,55000000,Government,Cyber Attack
United States,Compass Bank,2007,1000000,Financial,Insider Threat
United Kingdom,Countrywide Financial Corp,2006,2600000,Financial,Insider Threat
United States,Countrywide Financial Corp,2011,2500000,Financial,Insider Threat
United States,Centers for Medicare & Medicaid Services,2018,75000,Healthcare,Cyber Attack
Philippines,Cox Communications,2016,40000,Telecom,Cyber Attack
United States,"Crescent Health Inc., Walgreens",2013,100000,Healthcare,Physical Loss
United States,Dai Nippon Printing,2007,8637405,Retail,Insider Threat
United States,"Data Processors International (MasterCard, Visa, Discover Financial Services and American Express)",2008,8000000,Financial,Cyber Attack
United States,US Department of Homeland Security,2016,30000,Government,Inadequate Security
United States,Desjardins,2019,9700000,Financial,Insider Threat
United States,Domino's Pizza (France),2014,600000,Tech,Cyber Attack
Japan,DoorDash,2019,4900000,Tech,Cyber Attack
United States,UK Driving Standards Agency,2007,3000000,Government,Physical Loss
Canada,Dropbox,2012,68648009,Tech,Cyber Attack
France,Drupal,2013,1000000,Tech,Cyber Attack
United States,DSW Inc.,2005,1400000,Retail,Cyber Attack
United Kingdom,Dun & Bradstreet,2013,1000000,Tech,Cyber Attack
United States,eBay,2014,145000000,Hospitality,Cyber Attack
United States,"Earl Enterprises(Buca di Beppo, Earl of Sandwich, Planet Hollywood,Chicken Guy, Mixology, Tequila Taqueria)",2019,2000000,Financial,Cyber Attack
